Conference;Year;Author1;Author2;Author3;Author4;Author5;Author6;Author7;Author8;Author9;Author10;Author11;Author12;Author13;Author14;Author15;Title;specifier1;qualifier1;field1;Type1;Proprietary1;Specifier2;Qualifier2;Field2;Type2;Proprietary2;Specifier3;Qualifier3;Field3;Type3;Proprietary3;Specifier4;Qualifier4;Field4;Type4;Proprietary4;Specifier5;Qualifier5;Field5;Type5;Proprietary5;Specifier6;Qualifier6;Field6;Type6;Proprietary6;Specifier7;Qualifier7;Field7;Type7;Proprietary7;ArtifactEvaluation;ArtifactwasAvailable;Artifactisavailable;
RTAS;2017;Pratyush Patel;Manohar Vanga;Bjorn Brandenburg;;;;;;;;;;;;;TimerShield: Protecting High-Priority Tasks from Low-Priority Timer Interference;rwabff;named;automotive;specification;no;;custom;;microbenchmark;;cyclic_test;named;;benchmark;no;timerfd;named;;benchmark;no;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Zhuoqun Cheng;Richard West;Ying Ye;;;;;;;;;;;;;Building Real-Time Embedded Applications on QduinoMC: A Web-connected 3D Printer Case Study;;custom;3d printer;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Yin Yan;Karthik Dontu;Steven Y. Ko;Jan Vitek;Lkuasz Ziarek;;;;;;;;;;;Making Android Run on Time;;custom;;microbenchmark;;;custom;cochlear implant;case study;;papabench;named;;benchmark;no;;referenced;turbine;case study;no;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Christian Dietrich;Peter Wagemann;Peter Ulbrich;Daniel Lohmann;;;;;;;;;;;;SysWCET: Whole-System Response-Time Analysis for Fixed-Priority Real-Time Systems;i4copter;named;uav;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Bryan S. Kim;Sang Lyul Min;;;;;;;;;;;;;;QoS-aware Flash Memory Controller;;custom;;memory traffic generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Wei Zhang;Fan Gong;Lei Ju;Nan Guan;Zhiping Jia;;;;;;;;;;;Scope-aware Useful Cache Block Analysis for Data Cache Related Preemption Delay;malardalen;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Mitra Nasri;Bjorn Brandenburg;;;;;;;;;;;;;;Offline Equivalence: A Non-Preemptive Scheduling Technique for Resource-Constrained Embedded Real-Time Systems;uunifast;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Anand Bhat;Soheil Samii;Ragunathan Rajkumar;;;;;;;;;;;;;Pratical Task Allocation for Safotware Fault-Tolerance and Its Implementation in Embedded Automotive Systems;;custom;;microbenchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Matthias Becker;Borislav Nikolic;Dakshina Dasari;Benny Akesson;Vincent Nelis;Moris Behnam;Thomas Nolte;;;;;;;;;Partitioning and Analysis of the Network-on-Chip on a COTS Many-Core Platform;;custom;;microbenchmark;no;bosch amalthea;named;automotive;case study;yes;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Sebastian Tobuschat;Rolf Ernst;;;;;;;;;;;;;;Efficient Latency Guarantees for Mixed-criticality Networks-on-Chip;;custom;;communication traffic generator;;chstone;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Enrico Mezzetti;Mikel Fernandez;Alen Bardizbanyan;Irune Agirre;Jaume Abella;Tullio Vardanega;Francisco Cazorla;;;;;;;;;EPC Enacted: Integration in an Industrial Toolbox and Use Against a Railway Application;;custom;;microbenchmark;;european train control system;custom;railway;case study;unclear;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Bernardo Villalba Frias;Luigi Palopoli;Luca Abeni;Daniele Fontanelli;;;;;;;;;;;;Probabilistic Real-Time Guarantees: There is life beyond the I.i.d. assumption;;custom;computer vision;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;George Lima;Iain Bate;;;;;;;;;;;;;;Valid Application of EVT in Timing Analysis by Randomising Execution Time Measurements;malardalen;named;;benchmark;no;rolls-royce engine controller;named;;specification;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Luca Santinelli;Fabrice Guet;Jerome Morio;;;;;;;;;;;;;Revising Measurement-Based Probabilistic Timing Analysis;;;avionics;case study;yes;;referenced;robotics;case study;no;malardalen;named;;benchmark;no;cuda voronoi;named;gpu;benchmark;no;;custom;;microbenchmark;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Meng Xu;Linh Thi Xuan Phan;Hyon-Young Choi;Insup Lee;;;;;;;;;;;;vCAT: Dynamic Cache Management using CAT Virtualization;parsec;named;;benchmark;no;;custom;;microbenchmark;;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Namhoon Kim;Micaiah Chisholm;Nathan Otterness;James H. Anderson;F. Donelson Smith;;;;;;;;;;;Allowing Shared Libraries while Supporting Hardware Isolation in Multicore Real-Time Systems;(kim);referenced;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Mohamed Hassan;Anirudh Mohan Kaushik;Hiren Patel;;;;;;;;;;;;;Predictable Cache Coherence for Multi-Core Real-Time Systems;;custom;;microbenchmark;;splash2;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Danlu Guo;Rodolfo Pellizzoni;;;;;;;;;;;;;;A Requests Bundling DRAM Controller for Mixed-Criticality Systems;autobench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Tianyu Zhang;Tao Gong;Chuancai Gu;Huayi Ji;Song Han;Qingxu Deng;Xiaobo Sharon Hu;;;;;;;;;Distributed Dynamic Packet Scheduling for Handling Disturbances in Real-Time Wireless Networks;;custom;;taskset generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Marina Gutierrez;Wilfried Steiner;Radu Dobrin;Sasikumar Punnekkat;;;;;;;;;;;;Synchronization Quality of IEEE 802.1AS in Large-Scale Industrial Automation Networks;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Adwait Dongare;Patrick Lazik;Niranjini Rajagopal;Anthony Rowe;;;;;;;;;;;;Pulsar: A Wireless Propagation-Aware Clock Synchronization Platform;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Sirajum Munir;Ripudaman Singh Arora;Craig Hesling;Juncheng Li;Jonathan Francis;Charles Shelton;Christopher Martin;Anthony Rowe;Mario Berges;;;;;;;Real-Time Fine Grained Occupancy Estimation Using Depth Sensors on ARM Embedded Platforms;;;misc;case study;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Xinhai Zhang;Xinwu Song;Lei Feng;Lei Chen;Martin Torngren;;;;;;;;;;;A Case Study on Achieving Fair Data Age Distribution in Vehicular Communications;;custom;automotive;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Peter Wagemann;Tobias Distler;Christian Eichler;Wolfgang Schroder-Preikschat;;;;;;;;;;;;Benchmark Generation for Timing Analysis;gene;named;;benchmark generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Oleg Iegorov;Reinier Torres;Sebastian Fischmeister;;;;;;;;;;;;;Periodic Task Mining in Embedded System Traces;;custom;;microbenchmark;;;;uav;case study;yes;;;automotive;case study;yes;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Sebastian Kehr;Eduardo Quinones;Dominik Langen;Bert Boddeker;Gunter Schafer;;;;;;;;;;;Parcus: Energy-Aware and Robust Parallelization of AUTOSAR Legaci Applications;;;automotive;case study;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Nathan Otterness;Ming Yang;Sarah Rust;Eunbyung Park;;;;;;;;;;;;An Evaluation of the NVIDIA TX1 for Supporting Real-Time Computer-Vision Workloads;;custom;;microbenchmark;;cuda samples;named;gpu;benchmark;no;;custom;object detection;case study;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Petros Voudouris;Per Stenstrom;Risat Pathan;;;;;;;;;;;;;Timing-Anomaly Free Dynamic Scheduling of Task-Based Parallel Applications;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2017;Rohan Tabish;Renato Mancuso;Saud wasly;Sujit S. Phatak;Rodolfo Pellizzoni;Marco Caccamo;;;;;;;;;;A Reliable and Predictable Scratchpad-Centric OS for Multi-Core Embedded Systems;;custom;;microbenchmark;;autobench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Tiany Zhang;Tao Gong;Zelin Yun;Song Han;Qingxu Deng;Xiaobo Sharon Hu;;;;;;;;;;FD-PaS: A fully Distributed Packet Scheduling Framework for Handling Disturbances in Real-Time Wireless Networks;;custom;;taskset generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Ramon Serna Oliver;Silviu S. Craciunas;Wilfried Steiner;;;;;;;;;;;;;IEEE 802.1Qbv Gate Control List Synthesis using Array Theory Encoding;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Luxi Zhao;Paul Pop;Zhong Zheng;Qiao Li;;;;;;;;;;;;Timing Analysis of AVB Traffic in TSN Networks using Network Calculus;;custom;networking;case study;;nasa orion;named;aerospace;case study;unclear;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Frederic Giroudot;Ahlem Mifdaoui;;;;;;;;;;;;;;Buffer-Aware Worst-Case Timing Analysis of Wormhole NoCs Using Network Calculus;;custom;networking;case study;;;custom;network-on-chip;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Sandeep D’souza;Ragunathan Rajkumar;;;;;;;;;;;;;;QuarzV: Bringing Quality of Time to Virtual Machines;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Runyu Pan;Gregor Peach;Yuxin Ren;Gabriel Parmer;;;;;;;;;;;;Predictable Virtualization on Memory Protection Unit-based Microcontrollers;;custom;;microbenchmark;;mibench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Zhe Jiang;Neil Audsley;Pan Dong;;;;;;;;;;;;;BlueVisor: A Scalable Real-time Hardware Hypervisor for Many-core embedded Systems;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Tianyang Chen;Linh Thi Xuan Phan;;;;;;;;;;;;;;SafeMC: A system for the design and evaluation of mode-change protocols;;custom;;microbenchmark;;google self-driving car;named;autonomous vehicle;case study;yes;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Haoran Li;Meng Xu;Chong Li;Chenyang lu;Christopher Gill;Linh Phan;Insup Lee;Oleg Sokolsky;;;;;;;;Multi-Mode Virtualization for Soft Real-Time Systems;uunifast;named;;taskset generator;no;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Hoon Sung Chwa;Kang G. Shin;Hyeongboo Baek;Jinkyu lee;;;;;;;;;;;;Physical-State-Aware Dynamic Slack Management for Mixed-Criticality Systems;;custom;autonomous vehicle;case study;;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Robert Davis;Sebastian Altmeyer;Alan Burns;;;;;;;;;;;;;Mixed Criticality Systems with Varying Context Switch Costs;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;FALSE;FALSE;
RTAS;2018;Yuxin Ren;Guyue Liu;Gabriel Parmer;Bjorn Brandenburg;;;;;;;;;;;;Scalable Memory Reclamation for Multi-Core, Real-Time Systems;;custom;;microbenchmark;;randfixsum;named;;taskset generator;no;schedcat;named;;taskset generator;no;memcached;named;;benchmark;no;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Zheng Dong;Cong Liu;Soroush Bateni;Kuan-Hsun Chen;Jian-Jia Chen;Georg von der Bruggen;Junjie Shi;;;;;;;;;Shared-Resource-Centric Limited Preemptive Scheduling. A Comprehensive Study of Suspension-based Partitioning Approaches;;custom;gpu;case study;;uunifast-discard;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Pratyush Patel;Iljoo Baek;Hyoseung Kim;Ragunathan Rajkumar;;;;;;;;;;;;Analytical Ehancements and Practical Insights for MPCP with Self-Suspensions;uunifast;named;;taskset generator;no;cmu;named;autonomous vehicle;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Husheng Zhou;Soroush Bateni;Cong Liu;;;;;;;;;;;;;S^3DNN: Supervised Streaming and Scheduling for GPU-Accelerated Real-Time DNN Workloads;;custom;computer vision;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Hyeonsu Lee;Jaehun Roh;Euiseong Seo;;;;;;;;;;;;;A GPU Kernel Transactionization Scheme for Preemptive Priority Scheduling;rodinia;named;;benchmark;no;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Muhammad Husni Santriaji;Henry Hoffmann;;;;;;;;;;;;;;MERLOT: Architectural Support for Energy-Efficient Real-Time Processing in GPUs;rodinia;named;;benchmark;no;parboil;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Saranya Natarajan;David Broman;;;;;;;;;;;;;;Timed C: An Extension to the C Programming Language for Real-Time Systems;miniature student satelite;named;aerospace;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
RTAS;2018;Alessandro Biondi;Marco Di Natale;;;;;;;;;;;;;;Archieving Predictable Multicore Execution of Automotive Applications Using the LET Paradigm;waters 2017;named;automotive;industrial challenge;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Oleg Iegorov;Sebastian Fischmeister;;;;;;;;;;;;;;Mining Task Precedence Graphs from Real-Time Embedded Systems Traces;hyundai;named;automotive;can messages;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Jakaria Abdullah;Gaoyang Dai;Morteza Mohaqeqi;Wang Yi;;;;;;;;;;;;Schedulability Analysis and Software Synthesis for Graph-Based Task Models with Resource Sharing;;custom;;taskset generator;no;waters 2017;named;automotive;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Mitra Nasri;Robert Davis;Bjorn Brandenburg;;;;;;;;;;;;;FIFO with Offsets: High Schedulability with Low Overheads;uunifast;named;;taskset generator;;rwabff;named;automotive;specification;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Yecheng Zhao;Haibo Zeng;;;;;;;;;;;;;;The Concept of Response Time Estimation Range for Optimizing Systems Scheduled with Fixed Priority;;custom;automotive;case study;;active safety vehicle;referenced;automotive;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;FALSE;FALSE;
RTAS ;2018;Amir R. B. Behrouzian;D. Goswami;T. Basten;M. Geilen;H. Alizadeh Ara;M. Hendriks;;;;;;;;;;Firmness Analysis of Real-Time Applications Under Static-Priority Preemptive Scheduling;;custom;automotive;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
RTAS;2018;Luis Oliveira;Luis Almeida;Daniel Mosse;;;;;;;;;;;;;A Clockless Synchronisation Framework for Cooperating Mobile Robots;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Daniel (Yue) Zhang;Yue Ma;Yang Zhang;Suwen Lin;X. Sharon Hu;Dong Wang;;;;;;;;;;A Real-Time and Non-Cooperative Task Allocation Framework for Social Sensing Applications in Edge Computing Systems;;referenced;social media;case study;no;;referenced;air quality;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2018;Hoon Sung Chwa;Kang G. Shin;Jinkyu Lee;;;;;;;;;;;;;Closing the Gap between Stability and Schedulability: A New Task Model for Cyber-Physical Systems;;custom;automotive;case study;;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Tomasz Kloda;Marco Solieri;Renato Mancuso;Nicola Capodieci;Paolo Valente;Marko Bertogna;;;;;;;;;;Deterministic Memory Hierarchy and Virtualization for Modern Multi-Core Embedded Systems;lmbench;named;;benchmark;no;stress-ng;named;;benchmark;no;;custom;;microbenchmark;;taclebench;named;;benchmark;no;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Xavier Palomo;Enrico Mezzetti;Jaume Abella;Reinder J. Bril;Francisco J. Cazorla;;;;;;;;;;;Accurate ILP-based contention modeling on statically scheduled multicore systems;uunifast;named;;taskset generator;no;autobench;named;;benchmark;no;mediabench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Saksham Jain;Iljoo Baek;Shige Wang;Ragunathan Rajkumar;;;;;;;;;;;;Fractional GPUs: Software-based Compute and Memory Bandwidth Reservation for GPUs;rodinia;named;;benchmark;no;cuda samples;named;gpu;benchmark;no;caffe;named;neural network;case study;no;;;;;;;;;;;;;;;;;;;;;TRUE;FALSE;FALSE;
RTAS;2019;Avinash Kalyaranaraman;Elahe Soltanaghaei;Kamin Whitehouse;;;;;;;;;;;;;Doorpler: A Radar-based System for Real-Time Low Power Zone Occupancy Sensing;;custom;misc;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Xia Zhang;Xusheng Xiao;Liang He Yun Ma;Yangyang Huang;Xuanzhe Liu;Wenyao Xu;Cong Liu;;;;;;;;;PIFA: An Intelligent Phase Identification and Frequency Adjustment Framework for Time-Sensitive Mobile Computing;;named;smartphone app;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Alexander Zuepke;Robert Kaiser;;;;;;;;;;;;;;Deterministic Futexes: Addressing WCET and Bounded Interference Concerns;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Phani Kishore Gadepalli;Gregor peach;Gabriel Parmer;Joseph Espy;Zach Day;;;;;;;;;;;Chaos: a Systems for Criticality-Aware, Multi-Core Coordination;;custom;;microbenchmark;;nasa core flight;named;aerospace;case study;unclear;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Chien-Ying chen;Sibin Mohan;Rodolfo Pellizzoni;Rakesh B. Bobba;Negar Kiyavash;;;;;;;;;;;A Novel Side-Channel in Real-Time Schedulers;ardupilot;named;uav;case study;no;;custom;uav;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Mitra Nasri;Thidapat Chantem;Gedare Bloom;Ryan M. Gerdes;;;;;;;;;;;;On the Pitfalls and Vulnerabilities of Schedule Randomization against Schedule-Based Attacks;rwabff;named;automotive;specification;no;randfixsum;named;;taskset generator;no;;referenced;uav;case study;no;;;fire control;case study;yes;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Tushar Kumar;Kangqi Ni;Santosh Pande;;;;;;;;;;;;;Characterizing Dominant Program Behavior Using the Execution-Time Variance of the Call Structure;mediabench;named;;benchmark;no;sdvbs;named;;benchmark;no;;custom;misc;case study;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Saud Wasly;Rodolfo Pellizzoni;;;;;;;;;;;;;;Bundled Scheduling of Parallel Real-Time Tasks;;custom;;taskset generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Waqar Ali;Heechul Yun;;;;;;;;;;;;;;RT-Gang: Real-Time Gang Scheduling Framework for Safety-Critical Systems;isolbench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Zhishan Guo;Ashikahmed Bhuiyan;Di Liu;Aamir Khan;Abusayeed Saifullah;Nan Guan;;;;;;;;;;Energy-Efficient Real-Time Scheduling of DAGs on Clustered Multi-Core Platforms;erdos-renyi;named;;dag generator;no;rt-app;named;;benchmark;no;;custom;neural network;case study;;isolbench;named;;benchmark;no;parboil;named;;benchmark;no;;;;;;;;;;;TRUE;FALSE;FALSE;
RTAS;2019;Jinghao Sun;Nan Guan;Jingchang Sun;Yaoyao Chi;;;;;;;;;;;;Calculating Respons-Time Bounds for OpenMP Task Systems with Conditional Branches;;custom;;taskset generator;;bots;named;;benchmark;no;epcc ubenchmarks;named;;benchmark;no;openmp microbenchmarks;named;;benchmark;no;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Pascal Fradet;Xiaojie Guo;Jean-Francois Monin;Sophie Quinton;;;;;;;;;;;;CertiCAN: A Tool for the Coq Certification of CAN Analysis Results;;custom;;can message generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
RTAS;2019;Taeju Park;Kang G. Shin;;;;;;;;;;;;;;Optimal Priority Assignment for Scheduling Mixed CAN and CAN-FD Frames;netcarbench;named;;benchmark;no;;custom;can;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Kilho Lee;Minsu Kim;Hayeon Kim;Hoon Sung Chwa;Jinkyu Lee;Insik Shin;;;;;;;;;;Fault-Resilient Real-Time Communication Using Software-Defined Networking;;custom;;network traffic generator;;;custom;autonomous vehicle;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Venkata Modekurthy;Abusayeed Saifullah;Sanjay Madria;;;;;;;;;;;;;DestributedHART: A Distributed Real-Time Scheduling System for WirelessHART Networks;;custom;;network traffic generator;;;custom;;network traffic generator;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Leonie Kohler;Rolf Ernst;;;;;;;;;;;;;;Improving a Compositional Timing Analysis Framework for Weakly-Hard Real-Time Systems;;custom;;network traffic generator;;;custom;automotive;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
RTAS;2019;Hyunjong Choi;Hyoseung Kim;Qi Zhu;;;;;;;;;;;;;Job-Class-Level Fixed Priority Scheduling of Weakly-Hard Real-Time Systems;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Seyedmehdi Hosseinimotlagh;Hyoseung Kim;;;;;;;;;;;;;;Thermal-Aware Servers for Real-Time Tasks on Multi-Core GPU_Integrated Embedded Systems;mali gpu benchmark;named;gpu;benchmark;no;;custom;;taskset generator;;;custom;heterogeneous computing;case study;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Johannes Schlatow;Mischa Mostl;Rolf Ernst;;;;;;;;;;;;;Self-aware scheduling for mixed-criticality component-based systems;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;FALSE;FALSE;
RTAS;2019;Junjie Shi;Niklas Ueter;Georg von der Bruggen;Jian-Jia Chen;;;;;;;;;;;;Multiprocessor Synchronization of Periodic Real-Time Tasks Using Dependency Graphs;randfixsum;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Sandro Pinto;Hugo Araujo;Daviel Oliveira;jose Martins;Adriano Tavares;;;;;;;;;;;Virtualization on TrustZone-enabled Microcontrollers? Voila!;thread-metric rtos test suite;named;rtos;benchmark;no;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Ming Yang;Shige Wang;Joshua Bakita;Thanh Vu;F. Donelson Smith;James H. Anderson;Jan-Michael Frahm;;;;;;;;;Re-thinking CNN Frameworks for Time-Sensitive Autonomous-Driving Applications: Addressing an Industrial Challenge;;custom;computer vision;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Simon Schuster;Peter Wagemann;Peter Ulbrich;Wolfgang Schroder-Preikschat;;;;;;;;;;;;Proving Real-Time Capability of Generic Operating Systems by System-Aware Timing Analysis;taclebench;named;;benchmark;no;i4copter;named;uav;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
RTAS;2019;Jongouk Choi;Hyunwoo Joe;Yongjoo Kim;Changhee Jung;;;;;;;;;;;;Achieving Stagnation-Free Intermittent Computation with Boundary-Free Adaptive Execution;mibench;named;;benchmark;no;benchprime;named;;benchmark;no;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Meng Xu;Linh Thi Xuan Phan;Hyon-Young Choi;Yuhan Lin;Haoran Li;Chenyang Lu;Insup Lee;;;;;;;;;Holistic resource allocation for multicore real-time systems;parsec;named;;benchmark;no;;custom;;taskset generator;;cache-bomb;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Michael Bechtel;Heechul Yun;;;;;;;;;;;;;;Denial-of-Service Attacks on Shared Cache in Multicore: Analysis and Prevention;;custom;;microbenchmark;;autobench;named;;benchmark;no;sdvbs;named;;benchmark;no;memguard;named;;benchmark;no;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
RTAS;2019;Saeed Abedi;Neeraj Gandhi;Henri Maxime Demoulin;Yang Li;Yang Wu;Linh Thi Xuan Phan;;;;;;;;;;RTNF: Predictable Latency for Network Function Virtualization;;custom;;dag generator;;;custom;networking;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
